Station,Borough
Halsey Street,Brooklyn
Hewes Street,Brooklyn
High Street,Brooklyn
Hoyt Street,Brooklyn
Hoyt-Schermerhorn Streets,Brooklyn
Jay Street-MetroTech,Brooklyn
Jefferson Street,Brooklyn
Junius Street,Brooklyn
Kings Highway,Brooklyn
Kingston Avenue,Brooklyn
Kingston-Throop Avenues,Brooklyn
Knickerbocker Avenue,Brooklyn
Kosciuszko Street,Brooklyn
Lafayette Avenue,Brooklyn
Liberty Avenue,Brooklyn
Livonia Avenue,Brooklyn
Lorimer Street,Brooklyn
Marcy Avenue,Brooklyn
Metropolitan Avenue,Brooklyn
Montrose Avenue,Brooklyn
Morgan Avenue,Brooklyn
Myrtle Avenue,Brooklyn
Myrtle-Willoughby Avenues,Brooklyn
Myrtle-Wyckoff Avenues,Brooklyn
Nassau Avenue,Brooklyn
Neck Road,Brooklyn
Neptune Avenue,Brooklyn
Nevins Street,Brooklyn
New Lots Avenue,Brooklyn
New Utrecht Avenue,Brooklyn
Newkirk Avenue,Brooklyn
Norwood Avenue,Brooklyn
Newkirk Plaza,Brooklyn
Nostrand Avenue,Brooklyn
Ocean Parkway,Brooklyn
Park Place,Brooklyn
Parkside Avenue,Brooklyn
Pennsylvania Avenue,Brooklyn
President Street,Brooklyn
Prospect Park,Brooklyn
Ralph Avenue,Brooklyn
Rockaway Avenue,Brooklyn
Saratoga Avenue,Brooklyn
Sheepshead Bay,Brooklyn
Shepherd Avenue,Brooklyn
Smith-Ninth Streets,Brooklyn
Sterling Street,Brooklyn
Sutter Avenue,Brooklyn
Sutter Avenue-Rutland Road,Brooklyn
Union Street,Brooklyn
Utica Avenue,Brooklyn
Van Siclen Avenue,Brooklyn
West Eighth Street-New York Aquarium,Brooklyn
Wilson Avenue,Brooklyn
Winthrop Street,Brooklyn
York Street,Brooklyn
First Avenue,Manhattan
Second Avenue,Manhattan
Third Avenue,Manhattan
Fifth Avenue/53rd Street,Manhattan
Fifth Avenue/59th Street,Manhattan
Fifth Avenue,Manhattan
Sixth Avenue,Manhattan
Eighth Street-New York University,Manhattan
14th Street,Manhattan
14th Street-Union Square,Manhattan
18th Street,Manhattan
23rd Street,Manhattan
28th Street,Manhattan
